id,name,artist,time,date,y-channel,t-account
2Nj1l-S2FJU,忘れてしまえ,花譜,4:01,2019/01/31,UCQ1U65-CQdIoZ2_NA4Z4F7A,virtual_kaf
VcACkGvGKjM,活花,花譜,1:14,2019/03/20,UCQ1U65-CQdIoZ2_NA4Z4F7A,virtual_kaf
M1RIUrgJqWw,雛鳥,花譜,4:27,2019/03/22,UCQ1U65-CQdIoZ2_NA4Z4F7A,virtual_kaf
tMKrECxEpq8,過去を喰らう,花譜,4:05,2019/06/05,UCQ1U65-CQdIoZ2_NA4Z4F7A,virtual_kaf
dledRqPTNT8,夜が降り止む前に,花譜,3:38,2019/06/28,UCQ1U65-CQdIoZ2_NA4Z4F7A,virtual_kaf
y6TGSY9Zll0,そして花になる,花譜,4:31,2019/08/01,UCQ1U65-CQdIoZ2_NA4Z4F7A,virtual_kaf
n0ov2G-_UvU,quiz,花譜,4:20,2019/08/06,UCQ1U65-CQdIoZ2_NA4Z4F7A,virtual_kaf
TtD7xcruYAk,蒼に躊躇う,花鋏キョウ,3:16,2019/04/03,UC4OeUf_KfYRrwksschtRYow,Kyo_Hanabasami
-JO4tpmmU2c,Beyond the Moon,輝夜 月,2:53,2019/03/14,UCQYADFw7xEJ9oZSM5ZbqyBw,_KaguyaLuna
yiVGudcnsAg,NEW ERA,輝夜 月,3:51,2019/05/10,UCQYADFw7xEJ9oZSM5ZbqyBw,_KaguyaLuna
Fw--zRltlyE,Dance With Cinderella !,輝夜 月,3:06,2019/06/26,UCQYADFw7xEJ9oZSM5ZbqyBw,_KaguyaLuna
vhd1Pz8XRZw,Zero In Zero,久遠千歳,3:05,2019/04/01,UCP2o-o6u4uX3uq1hXspl0rg,samayuzame
r3aZ9yxyeyQ,電子のシンフォニー,響木アオ,2:34,2018/03/21,UCNwo7eikmX5HPs7NedWVBgw,hibiki_ao
5NCdcsl5oIQ,はらぺこパレード,響木アオ,2:25,2018/03/28,UCNwo7eikmX5HPs7NedWVBgw,hibiki_ao
